1 ; 1116 Ramona St ; Palo Alto ; CA ; 94301 ; 2789 ; 5619 ; 4 ; 4 ; 4,500,000 ; Michael Dreyfus ; 1902 ; 09/28/1978; 167,000 ; 4417 ; 4347 ; 4020 ; 4020 ; 3887 ; 311,261 ; 309,855 ; 303,780 ; 297,824 ; 295,599
2 ; 280 Waverley St ; Palo Alto ; CA ; 94301 ; 865 ; 1250 ; 2 ; 1 ; 1,049,900 ; Kim Connor ; 1973 ; 07/31/14 ; 830,000 ; 8515 ; 2608 ; 2560; 2413 ; 2413 ; 658,978 ; 222,065 ; 217,712 ; 213,444 ; 211,850
3 ; 725 Center Dr ; Palo Alto ;  CA ; 94301 ; 3424 ; 9374 ; 5 ; 5 ; 4,998,000 ; Michael Dreyfus ; 1986 ; N/A ; N/A ; 10,467 ; 10,360 ; 9,173 ; 9,173 ; 9,078 ; 830,099 ; 826,349 ; 810,147 ; 794,263 ; 788,328
4 ; 405 Marlowe St ; Palo Alto ; CA ; 94301 ; 6075 ; 10,454 ; 6 ; 7 ;  9,495,000; Zach Trailer ; 2015 ; 10/23/12 ; 2,500,000 ; 30,423 ; 26,707 ; 22,556 ; 22,556 ; 24,807 ; 2,511,349 ; 2,500,000 ; 2,186,660 ; 1,916,000 ; 2,039,000
5 ; 425 Alma St Apt 311 ; Palo Alto ; CA ; 94301 ; 955 ; N/A ; 2 ; 1 ; 1,095,000 ; Christina Nguyen ; 1984 ; 10/29/13 ; 798,500 ; 10,705 ; 9,414 ; 9,414 ; 9,201 ; 8,905 ; 798,111 ; 849,060 ; 740,000 ; 674,000 ; 749,000
6 ; 672 Melville Ave ; Palo Alto ; CA ; 94301 ; 1292 ; 5401 ; 2 ; 2 ; 2,888,000 ; Michael Zhang ; 1958 ; 03/06/15 ; 2,670,000 ; 1083 ; 1081 ; 1008 ; 1008 ; 917 ; 81,934 ; 81,565 ; 79,966 ; 78,399 ; 77,814
7 ; 580 Washington Ave ; Palo Alto ; CA ; 94301 ; 1763 ; 5262 ; 3 ; 3 ; 3,188,000 ; Doyle F. Rundell ; 1936 ; 07/01/13 ; 2,375,000 ; 11,975 ; 11,757 ; 11,757 ; 11,079 ; 10,873 ; 2,375,000 ; 946,345 ; 927,790 ; 909,599 ; 902,802
8 ; 1028 Emerson St ; Palo Alto ; CA ; 94301 ; 1048 ; 5248 ; 2 ; 2 ; 2,498,000 ; Michael Dreyfus ; 1910 ; 12/27/96 ; 360,000 ; 9708 ; 9534 ; 9534 ; 8982 ; 8982 ; 765,901 ; 762,440 ; 747,492 ; 732,836 ; 727,360
9 ; 517 Homer Ave ; Palo Alto; CA ; 94301 ; 2422; 5000 ; 3 ; 3 ; 3,099,000 ; Katy Thielke Strasser ; 1948 ; N/A ; N/A ; 2065 ; 2065 ; 1928 ; 1928 ; 1195 ; 111,904 ; 111,399 ; 109,216 ; 107,075 ; 106,276
10 ; 728 Addison Ave ; Palo Alto ; CA ; 94301 ; 3399 ; 5625 ; 5 ; 4 ; 6,699,888 ; Alex Comsa ; 2014 ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A
